rank,rank_change,country,speed
1,+1,United Arab Emirates,120.35
2,+3,Qatar,117.43
3,+1,South Korea,109.65
4,-3,Norway,106.91
5,+2,Kuwait,106.67
6,-,Netherlands,99.44
7,-4,Bulgaria,96.43
8,+1,Saudi Arabia,96.23
9,+1,China,89.32
10,+5,Luxembourg,85.20
11,+3,Switzerland,84.23
12,-4,Denmark,82.60
13,-1,Australia,81.46
14,-3,Brunei,77.48
15,+1,Cyprus,72.31
16,+2,Bahrain,72.24
17,+4,Belgium,67.24
18,+1,Singapore,64.92
19,-2,Sweden,62.09
20,-7,Croatia,60.36
21,+6,United States,59.89
22,+9,Taiwan,59.63
23,-1,Finland,59.59
24,+2,North Macedonia,59.54
25,-5,New Zealand,58.52
26,+2,Austria,58.33
27,-2,France,56.78
28,-5,Portugal,55.10
29,-5,Canada,55.04
30,-,Maldives,54.96
31,+1,Germany,53.34
32,+3,Macau (SAR),51.71
33,+1,Estonia,50.29
34,-5,Greece,50.19
35,-2,Slovenia,50.02
36,+4,Oman,47.32
37,+2,Hong Kong (SAR),47.10
38,-1,Malta,46.76
39,-3,Lithuania,46.08
40,-2,Latvia,45.20
41,+1,United Kingdom,43.74
42,+2,Serbia,43.71
43,-2,Suriname,43.55
44,+3,Japan,41.51
45,+1,Hungary,41.10
46,+3,Italy,38.44
47,+5,Vietnam,38.23
48,+2,Albania,37.93
49,+2,Poland,36.94
50,-7,Czechia,35.81
51,+2,Romania,35.37
52,+5,Thailand,34.63
53,+6,Slovakia,34.53
54,-6,Iraq,33.95
55,-1,Togo,33.34
56,+5,South Africa,33.08
57,+3,Jamaica,32.51
58,+7,Moldova,32.25
59,-4,Uruguay,31.59
60,-2,Azerbaijan,31.21
61,+5,Morocco,30.90
62,+2,Israel,30.71
63,+6,Trinidad and Tobago,30.55
64,-1,Georgia,30.24
65,+2,Malaysia,30.08
66,-10,Spain,29.67
67,+11,Armenia,28.77
68,-6,Turkey,28.70
69,-24,Montenegro,28.49
70,+2,Iran,27.74
71,+2,Laos,26.07
72,+8,Brazil,25.92
73,+3,Myanmar (Burma),25.67
74,-6,Ireland,25.66
75,-,Mexico,24.93
76,+27,Lebanon,24.26
77,-7,Kosovo,24.05
78,-7,Papua New Guinea,24.01
79,-,Ukraine,23.72
80,+3,Tunisia,23.32
81,+5,Egypt,23.18
82,-8,Bosnia and Herzegovina,23.11
83,-1,Kazakhstan,22.60
84,+4,Philippines,22.56
85,-8,Honduras,22.55
86,-2,Chile,22.35
87,-6,Fiji,22.28
88,+13,Guatemala,21.98
89,-2,El Salvador,21.76
90,-1,Argentina,21.21
91,-6,Russia,21.03
92,-1,Kyrgyzstan,20.89
93,+4,Angola,20.78
94,-1,Uganda,19.40
95,-5,Mauritius,18.51
96,+3,Ecuador,18.32
97,-1,Dominican Republic,18.14
98,-3,Kenya,17.97
99,+5,Indonesia,17.91
100,-2,Namibia,17.48
101,+1,Costa Rica,17.40
102,+12,DR Congo,17.30
103,-11,Mongolia,17.12
104,+6,Cambodia,17.01
105,-11,Jordan,16.32
106,-,Nicaragua,16.29
107,-,Mozambique,16.24
108,+3,Paraguay,16.14
109,-,Nigeria,16.10
110,-2,Peru,16.10
111,-11,Senegal,16.10
112,-7,Panama,15.69
113,-1,Côte d'Ivoire,15.15
114,+2,Pakistan,14.33
115,-2,Nepal,14.20
116,+1,Uzbekistan,13.96
117,+1,India,13.41
118,+1,Algeria,13.15
119,+4,Zimbabwe,13.05
120,-,Syria,12.45
121,+8,Libya,12.26
122,-7,Ethiopia,12.18
123,-1,Haiti,11.97
124,-,Bolivia,11.96
125,-4,Sri Lanka,11.40
126,-,Colombia,11.30
127,-2,Cameroon,10.59
128,-1,Zambia,10.27
129,+2,Belarus,10.18
130,-,Bangladesh,9.64
131,+3,Sudan,9.51
132,-4,Tanzania,9.51
133,-,Burkina Faso,9.42
134,-1,Somalia,9.28
135,-3,Tajikistan,8.06
136,-1,Yemen,7.88
137,-1,Ghana,7.70
138,-1,Venezuela,5.44
139,-1,Afghanistan,4.83
140,-1,Cuba,4.15
